Precinct	Register Voters	Ballots Cast	Turnout %
01001	932	386	41.42
01002	804	312	38.81
01003	886	382	43.12
01004	956	348	36.40
01005	881	360	40.86
01006	856	307	35.86
01007	594	268	45.12
01008	814	288	35.38
01009	645	260	40.31
01010	1056	395	37.41
01011	885	393	44.41
01012	1027	442	43.04
01013	420	169	40.24
01014	739	345	46.68
01015	792	262	33.08
01016	943	435	46.13
01017	777	343	44.14
01018	886	336	37.92
01019	998	368	36.87
01020	675	332	49.19
01021	1157	460	39.76
01022	560	222	39.64
01023	1025	544	53.07
01024	961	341	35.48
01025	822	324	39.42
01026	742	249	33.56
01027	931	381	40.92
01028	356	113	31.74
01029	1001	453	45.25
01030	955	412	43.14
01031	840	242	28.81
01032	803	313	38.98
01033	977	377	38.59
01034	617	305	49.43
01035	1061	383	36.10
01036	891	354	39.73
01037	838	291	34.73
01038	800	261	32.63
01039	757	247	32.63
01040	852	342	40.14
01041	465	237	50.97
01042	256	97	37.89
01043	536	217	40.49
01044	629	315	50.08
02001	916	360	39.30
02002	587	229	39.01
02003	932	387	41.52
02004	788	322	40.86
02005	967	394	40.74
02006	833	321	38.54
02007	1260	261	20.71
02008	1067	356	33.36
02009	758	234	30.87
02010	644	198	30.75
02011	849	325	38.28
02012	779	359	46.08
02013	648	322	49.69
02014	837	429	51.25
02015	867	325	37.49
02016	848	289	34.08
02017	937	433	46.21
02018	766	308	40.21
02019	570	147	25.79
02020	1054	318	30.17
02021	847	358	42.27
02022	835	334	40.00
02023	541	235	43.44
02024	732	241	32.92
02025	865	369	42.66
02026	801	268	33.46
02027	749	280	37.38
02028	881	316	35.87
02029	921	327	35.50
02030	669	247	36.92
02031	914	390	42.67
02032	638	225	35.27
02033	1076	510	47.40
02034	602	270	44.85
02035	1086	341	31.40
02036	902	301	33.37
02037	639	320	50.08
02038	703	287	40.83
02039	622	171	27.49
02040	1155	277	23.98
02041	993	266	26.79
02042	876	301	34.36
02043	1127	341	30.26
02044	458	195	42.58
02045	994	340	34.21
02046	483	198	40.99
03001	1224	396	32.35
03002	806	475	58.93
03003	852	216	25.35
03004	818	394	48.17
03005	645	191	29.61
03006	1030	432	41.94
03007	516	251	48.64
03008	756	231	30.56
03009	900	388	43.11
03010	531	145	27.31
03011	831	321	38.63
03012	689	373	54.14
03013	868	412	47.47
03014	891	393	44.11
03015	809	265	32.76
03016	774	272	35.14
03017	1156	462	39.97
03018	1363	437	32.06
03019	922	371	40.24
