Precinct	total_votes	votes|Mary E. Flowers
06010	317	317
06017	361	361
06019	118	118
06020	311	311
06022	284	284
06025	278	278
06026	118	118
06027	304	304
17002	394	394
17004	538	538
17005	335	335
17009	330	330
17010	529	529
17011	279	279
17015	472	472
17018	412	412
17020	495	495
17021	57	57
17022	385	385
17023	278	278
17024	440	440
17026	478	478
17027	410	410
17028	318	318
17029	400	400
17032	276	276
17034	210	210
17037	296	296
17038	435	435
17039	407	407
17040	424	424
17041	494	494
18004	426	426
18006	166	166
18007	419	419
18008	410	410
18009	162	162
18010	522	522
18012	267	267
18013	436	436
18014	421	421
18016	381	381
18018	339	339
18019	367	367
18020	353	353
18021	168	168
18022	447	447
18026	364	364
18029	9	9
18032	19	19
18033	34	34
18035	443	443
18036	426	426
18037	462	462
18038	381	381
18041	469	469
21002	238	238
21004	441	441
21013	62	62
21015	311	311
21017	45	45
21020	256	256
21026	424	424
21028	522	522
21030	357	357
21034	109	109
21043	399	399
21044	196	196
21047	434	434
21051	407	407
21052	391	391
21053	180	180
21054	368	368
Lyons 5	495	495
Lyons 23	479	479
Lyons 25	181	181
Lyons 28	143	143
Lyons 49	252	252
Lyons 52	445	445
Lyons 53	382	382
Lyons 54	98	98
Lyons 61	414	414
Lyons 73	391	391
Lyons 76	272	272
Lyons 78	297	297
Palos 4	356	356
Palos 5	294	294
Palos 19	533	533
Palos 23	321	321
Palos 27	13	13
Palos 28	480	480
Palos 31	479	479
Palos 38	405	405
Stickney 9	1	1
Worth 1	279	279
Worth 2	506	506
Worth 21	713	713
Worth 25	162	162
Worth 26	279	279
Worth 30	486	486
Worth 33	62	62
Worth 40	81	81
Worth 44	317	317
Worth 47	273	273
Worth 53	473	473
Worth 58	271	271
Worth 66	298	298
Worth 76	259	259
Worth 82	451	451
Worth 83	202	202
Worth 94	550	550
Worth 99	297	297
