Precinct	total_votes	votes|Silvana Tabares
12002	238	238
12006	253	253
12007	265	265
12010	287	287
12011	310	310
12012	291	291
12013	12	12
12014	279	279
12015	233	233
12016	275	275
12017	195	195
12018	249	249
12020	343	343
12022	301	301
14001	23	23
15006	273	273
15009	25	25
15010	156	156
15011	155	155
15012	37	37
22004	117	117
22005	8	8
22007	42	42
22010	367	367
22013	226	226
22014	215	215
22015	225	225
22016	265	265
22017	38	38
22018	132	132
22019	2	2
22022	258	258
23001	82	82
23012	197	197
23016	220	220
23021	217	217
23027	213	213
23036	209	209
23037	124	124
24016	249	249
Berwyn Ward 1 Precinct 2	3	3
Cicero 5	8	8
Cicero 6	316	316
Cicero 13	144	144
Cicero 20	209	209
Lyons 1	27	27
Lyons 3	241	241
Lyons 19	276	276
Lyons 22	198	198
Lyons 30	61	61
Lyons 32	85	85
Lyons 37	163	163
Lyons 56	394	394
Lyons 57	373	373
Lyons 59	215	215
Lyons 60	545	545
Lyons 64	215	215
Lyons 66	168	168
Riverside 2	25	25
Riverside 3	151	151
Riverside 4	313	313
Stickney 1	98	98
Stickney 2	246	246
Stickney 16	280	280
Stickney 17	72	72
Stickney 19	212	212
