Precinct	total_votes	votes|Donne E. Trotter
06001	463	463
06002	466	466
06003	460	460
06008	460	460
06013	337	337
06014	460	460
06016	432	432
06019	67	67
06029	465	465
06031	448	448
06034	480	480
06035	408	408
06036	478	478
06037	430	430
06038	464	464
06039	415	415
06041	460	460
06042	503	503
06043	410	410
06044	497	497
06045	505	505
06046	321	321
07026	355	355
07027	365	365
07028	268	268
07029	366	366
07030	294	294
07032	244	244
07036	501	501
07037	27	27
07038	393	393
07039	387	387
07040	378	378
07041	416	416
07042	392	392
07043	415	415
07044	398	398
07045	450	450
08003	447	447
08004	465	465
08005	463	463
08006	449	449
08007	503	503
08008	410	410
08010	520	520
08011	405	405
08012	396	396
08014	422	422
08015	439	439
08017	375	375
08018	465	465
08019	464	464
08022	403	403
08023	394	394
08024	279	279
08025	457	457
08026	230	230
08027	461	461
08029	533	533
08030	463	463
08031	349	349
08032	377	377
08033	402	402
08034	390	390
08035	455	455
08036	471	471
08037	368	368
08038	277	277
08039	457	457
08040	346	346
08041	477	477
08043	220	220
08044	309	309
08045	449	449
08046	381	381
08047	380	380
08048	431	431
08049	411	411
08050	453	453
08051	479	479
08052	567	567
08053	238	238
08054	183	183
08056	464	464
09001	186	186
09007	41	41
09008	476	476
09009	371	371
09012	493	493
09013	342	342
09023	458	458
09024	413	413
09025	433	433
09028	34	34
09031	58	58
09036	397	397
09037	494	494
09038	304	304
09042	421	421
09043	205	205
09046	436	436
09047	451	451
09048	455	455
09049	444	444
09050	536	536
09051	419	419
10002	326	326
10003	328	328
10005	294	294
10009	315	315
10013	457	457
10014	3	3
10015	810	810
10016	283	283
10017	445	445
10021	3	3
10023	18	18
10024	336	336
10027	17	17
10033	4	4
17021	407	407
21031	297	297
21053	147	147
