Precinct	total_votes	votes|Leslie Geissler Munger	votes|Susana Mendoza	votes|Claire Ball	votes|Tim Curtin
01001	600	90	441	35	34
01002	572	49	469	25	29
01003	702	187	457	30	28
01004	685	163	463	24	35
01005	658	159	449	31	19
01006	613	131	427	25	30
01007	429	75	300	26	28
01008	560	105	422	13	20
01009	483	68	374	20	21
01010	762	186	508	38	30
01011	680	185	437	33	25
01012	692	151	464	34	43
01013	265	59	186	12	8
01014	628	120	466	19	23
01015	552	92	408	23	29
01016	570	84	436	29	21
01017	525	75	401	21	28
01018	631	64	497	19	51
01019	753	80	585	39	49
01020	481	55	377	18	31
01021	725	170	494	34	27
01022	387	56	296	19	16
01023	796	112	596	31	57
01024	530	60	418	22	30
01025	573	77	423	38	35
01026	409	42	337	15	15
01027	629	134	422	47	26
01028	188	12	160	6	10
01029	595	106	433	34	22
01030	676	88	529	25	34
01031	593	108	431	28	26
01032	590	128	413	27	22
01033	671	154	460	31	26
01034	533	87	377	31	38
01035	763	184	513	30	36
01036	659	167	427	37	28
01037	615	159	396	27	33
01038	611	97	453	32	29
01039	521	124	353	27	17
01040	607	120	433	31	23
01041	326	42	246	16	22
01042	189	41	128	10	10
01043	404	63	296	23	22
01044	511	67	386	31	27
02001	683	136	485	43	19
02002	504	191	293	13	7
02003	745	183	492	33	37
02004	570	125	399	21	25
02005	747	174	499	42	32
02006	633	125	438	32	38
02007	608	154	405	30	19
02008	751	190	490	37	34
02009	581	262	287	23	9
02010	553	256	280	10	7
02011	638	328	289	15	6
02012	588	159	391	24	14
02013	591	245	320	16	10
02014	654	144	440	31	39
02015	603	150	402	28	23
02016	579	134	411	12	22
02017	711	165	473	33	40
02018	629	236	361	18	14
02019	447	204	228	10	5
02020	736	276	421	27	12
02021	628	154	419	33	22
02022	672	296	348	17	11
02023	433	227	192	11	3
02024	592	207	352	23	10
02025	722	195	461	42	24
02026	558	195	332	18	13
02027	607	263	308	19	17
02028	730	295	384	37	14
02029	707	289	377	26	15
02030	542	251	273	10	8
02031	790	370	379	29	12
02032	586	248	302	24	12
02033	928	401	487	21	19
02034	523	252	256	8	7
02035	857	346	459	36	16
02036	522	203	292	17	10
02037	556	225	310	12	9
02038	608	303	269	22	14
02039	457	207	227	12	11
02040	758	289	427	15	27
02041	682	298	348	24	12
02042	722	262	424	27	9
02043	881	390	453	29	9
02044	422	191	215	9	7
02045	602	187	364	29	22
02046	396	167	193	23	13
03001	700	38	626	19	17
03002	654	53	578	10	13
03003	504	50	423	17	14
03004	625	44	545	17	19
03005	432	22	379	19	12
03006	741	251	436	35	19
03007	403	26	349	10	18
03008	592	39	512	25	16
03009	584	37	518	17	12
03010	339	14	313	10	2
03011	594	33	541	7	13
03012	535	42	464	16	13
03013	712	214	465	22	11
03014	657	132	471	39	15
03015	622	26	561	20	15
03016	578	25	525	18	10
03017	746	123	575	24	24
03018	864	77	741	18	28
03019	713	243	432	23	15
03020	613	38	540	21	14
03021	667	191	439	21	16
03022	850	206	600	25	19
03023	532	36	475	11	10
03024	544	27	489	15	13
03025	992	358	598	18	18
03026	711	222	455	15	19
03027	772	242	476	28	26
03028	357	15	321	11	10
03029	674	43	610	14	7
03030	548	41	488	10	9
03031	721	32	648	25	16
03032	724	165	510	26	23
03033	756	206	506	29	15
03034	771	181	528	33	29
03035	299	24	253	12	10
03036	370	13	334	11	12
03037	540	26	480	17	17
03038	475	20	424	16	15
03039	820	241	529	37	13
03040	681	83	558	24	16
03041	476	56	366	25	29
04001	749	101	591	19	38
04002	768	229	494	29	16
04003	563	35	501	12	15
04004	787	53	697	19	18
04005	571	51	482	20	18
04006	679	57	590	15	17
04007	696	50	605	15	26
04008	662	30	590	18	24
04009	630	32	566	20	12
04010	657	61	553	23	20
04011	653	37	598	9	9
04012	654	39	586	15	14
04013	710	144	509	34	23
04014	613	43	540	19	11
04015	720	48	635	21	16
04016	895	215	611	39	30
04017	818	151	589	38	40
04018	524	33	464	15	12
04019	588	30	538	9	11
04020	544	146	353	28	17
04021	847	163	605	39	40
04022	600	71	497	16	16
04023	755	72	628	21	34
04024	553	72	446	22	13
04025	714	193	469	31	21
04026	593	32	531	17	13
04027	699	68	575	32	24
04028	557	54	468	21	14
04029	608	34	534	24	16
04030	826	44	740	25	17
04031	581	60	494	12	15
04032	644	36	575	20	13
04033	658	55	559	16	28
04034	555	32	490	14	19
04035	704	39	627	20	18
04036	661	45	585	17	14
04037	989	245	683	40	21
04038	610	38	540	19	13
05001	548	36	481	21	10
05002	497	25	454	10	8
05003	593	72	473	18	30
05004	702	57	590	24	31
05005	545	29	478	25	13
05006	485	31	430	12	12
05007	542	68	438	18	18
05008	592	86	470	12	24
05009	659	79	525	24	31
05010	516	25	458	21	12
05011	590	75	456	30	29
05012	459	25	415	11	8
05013	496	32	434	14	16
05014	453	40	390	13	10
05015	550	49	458	22	21
05016	583	27	529	15	12
05017	524	42	450	17	15
05018	545	50	456	19	20
05019	553	83	419	21	30
05020	638	57	532	25	24
05021	603	75	486	13	29
05022	626	111	488	18	9
05023	991	130	788	27	46
05024	632	63	524	22	23
05025	525	43	450	15	17
05026	610	37	534	18	21
05027	789	128	609	15	37
05028	586	48	499	24	15
05029	630	45	545	19	21
05030	471	33	413	12	13
