Precinct	total_votes	votes|Jacqueline ''Jacqui'' Collins
06004	232	232
06005	211	211
06006	287	287
06007	297	297
06009	303	303
06010	225	225
06011	302	302
06012	258	258
06015	173	173
06017	231	231
06018	181	181
06019	237	237
06020	177	177
06021	192	192
06022	204	204
06023	189	189
06024	192	192
06025	190	190
06026	234	234
06027	184	184
06028	104	104
06030	253	253
06032	275	275
06033	325	325
06040	265	265
06047	249	249
06048	314	314
08026	2	2
15007	71	71
15022	191	191
16006	145	145
16016	259	259
16024	156	156
16029	227	227
16030	63	63
16033	64	64
17001	8	8
17002	244	244
17003	279	279
17004	355	355
17005	230	230
17008	24	24
17009	261	261
17010	293	293
17011	223	223
17013	234	234
17015	297	297
17017	203	203
17018	305	305
17019	183	183
17020	343	343
17021	60	60
17022	247	247
17023	173	173
17024	304	304
17026	300	300
17027	279	279
17028	236	236
17029	243	243
17030	147	147
17031	184	184
17032	232	232
17033	175	175
17034	201	201
17035	231	231
17036	310	310
17037	240	240
17038	248	248
17039	275	275
17040	298	298
17041	335	335
18001	264	264
18002	241	241
18003	194	194
18004	313	313
18005	186	186
18006	207	207
18007	265	265
18008	284	284
18009	102	102
18010	395	395
18011	240	240
18012	257	257
18013	290	290
18014	303	303
18015	43	43
18016	287	287
18017	287	287
18018	240	240
18019	243	243
18020	231	231
18021	358	358
18022	340	340
18023	266	266
18024	254	254
18025	240	240
18026	266	266
18027	202	202
18028	214	214
18029	288	288
18030	271	271
18031	309	309
18032	14	14
18033	244	244
18035	318	318
18036	287	287
18037	323	323
18038	272	272
18039	222	222
18040	317	317
18041	326	326
18042	239	239
18043	20	20
18044	196	196
18045	246	246
18046	96	96
18047	216	216
18048	238	238
18049	194	194
18050	129	129
20008	34	34
20028	191	191
21002	73	73
21004	296	296
21013	30	30
21015	209	209
21017	32	32
21020	179	179
21026	277	277
21028	330	330
21030	241	241
21034	152	152
21043	321	321
21044	90	90
21047	274	274
21051	279	279
21052	261	261
21053	115	115
21054	267	267
