Precinct	total_votes	votes|Marcus C. Evans, Jr.
07026	346	346
07027	347	347
07028	272	272
07029	344	344
07030	270	270
07032	238	238
07036	509	509
07037	30	30
07038	383	383
07039	378	378
07040	373	373
07041	403	403
07042	385	385
07043	400	400
07044	377	377
07045	458	458
08003	438	438
08004	443	443
08005	443	443
08006	452	452
08007	479	479
08008	388	388
08010	504	504
08011	377	377
08012	384	384
08014	394	394
08015	320	320
08017	362	362
08018	449	449
08019	441	441
08023	383	383
08024	267	267
08025	444	444
08027	440	440
08029	509	509
08030	447	447
08033	415	415
08035	441	441
08036	470	470
08037	345	345
08038	273	273
08040	338	338
08041	447	447
08044	293	293
08045	315	315
08046	365	365
08048	425	425
08049	393	393
08050	428	428
08051	453	453
08052	543	543
08053	242	242
08054	142	142
08056	444	444
10002	319	319
10003	317	317
10005	285	285
10009	300	300
10013	428	428
10014	3	3
10015	782	782
10016	275	275
10017	439	439
10021	3	3
10023	19	19
10024	328	328
10027	17	17
10033	4	4
Bloom 5	322	322
Bloom 14	615	615
Bloom 16	514	514
Bloom 18	321	321
Bloom 22	458	458
Bloom 36	679	679
Bloom 38	484	484
Bloom 41	651	651
Bloom 43	508	508
Bloom 44	535	535
Bloom 53	166	166
Bloom 55	468	468
Thornton 2	277	277
Thornton 3	536	536
Thornton 5	488	488
Thornton 10	532	532
Thornton 11	339	339
Thornton 12	406	406
Thornton 13	430	430
Thornton 14	495	495
Thornton 16	448	448
Thornton 17	328	328
Thornton 18	672	672
Thornton 43	350	350
Thornton 47	377	377
Thornton 50	422	422
Thornton 51	358	358
Thornton 56	521	521
Thornton 57	324	324
Thornton 58	590	590
Thornton 61	355	355
Thornton 62	106	106
Thornton 65	596	596
Thornton 68	499	499
Thornton 79	708	708
